用户,评论内容,时间,地点
小奈小奈急不可耐,又当又立？,2023/4/21 22:03,广西
秋秋是个皮卡秋,让他自己退出是给他最后尊严,2023/4/21 22:07,云南
耳东雨覞,被查出来才主动放弃？,2023/4/21 22:10,广东
哭哭兔纸,支持,2023/4/21 22:15,河北
冰面回声,太好了,2023/4/21 22:27,安徽
围脖就没正常人,吃了饭还要摔碗，现在怎么都是这样的,2023/4/21 22:27,四川
删本78,不是有种说法吗 看不惯就去改变他 改变不了就接受它。这个大学生想尝试改变吧,2023/4/21 22:28,辽宁
小诺诺诺酱,我特别想知道他发了啥,2023/4/21 22:30,山东
267-Mr羅,干的漂亮,2023/4/21 22:32,广东
糖说给你天天甜,一边瞧不起 一边又拼了命的往里钻,2023/4/21 22:34,河南
Irislife74839,他发什么了？谁有截图？,2023/4/21 22:35,上海
水无痕_xl,在把在职公务员和d内人员也清理一下,2023/4/21 22:37,上海
工藤霖霖子,他发了啥,2023/4/21 22:40,江苏
不知名零食爱好者,什么样的家庭啊教出这种人,2023/4/21 22:42,福建
杂草他有主,这种人应该全面抵制才对，又想盛碗饭吃，又一脚踢翻锅子的行为,2023/4/21 22:47,内蒙古
头把交椅马里奥,普通工作岗位没必要 公务员就十分有必要,2023/4/21 22:48,上海
卡布7糯,不说什么辱华言论都是官方大忽悠,2023/4/21 22:48,江西
巴比伦世家-白云奢侈品包包,爽快人心,2023/4/21 22:50,广东
之江兵哥,既然想当公务员，政治素质得过关,2023/4/21 22:51,浙江
1革命工头1,心里想就行了，为什么要发出来呢？,2023/4/21 22:56,重庆
sl91919170,赞同的不能再赞同了,2023/4/21 22:56,河南
星星不会比喻-,好,2023/4/21 22:57,新疆
小樱爱笑吖,请大家多多举报,2023/4/21 22:57,山东
冰美式不爱蹲腿,学校入党申请的大都是为了自己的前途吧，两面三刀的人本来就很多,2023/4/21 23:00,江苏
心若无我zjw,大多数只为了利益，而不是为了为人民服务。所以，为了利益的这群人里，在对人民服务方面，不是第一位的，他们什么事情都做得出来，如果没有正确的制度，里边都没几个好人。,2023/4/21 23:01,山西
1845431asd,是被通报批评不能过政审，还是辱华不能过政审啊，我们寝室因为买热得快，（还没来得及用）被没收了，一起被通报批评过,2023/4/21 23:03,四川
老玩琦崇尚武德,不是一直叫八路么,2023/4/21 23:06,上海
枫樾60889,没看到辱华言论，不信捏,2023/4/21 23:08,北京
碎碎念GZ,面试分相对还挺高,2023/4/21 23:08,湖北
七岁影像,一方面恨国，一方面又想吃国家饭，这不是贱是什么,2023/4/21 23:22,重庆
铁扇公主爱吃牛魔王,恨铁不成钢啊,2023/4/21 23:24,上海
是呆呆呆子呀,我弟天天给我秀他的cc98论坛 说真的 里面什么内容都有  和微博一样有趣,2023/4/21 23:27,浙江
第三十三只眼,自己侮辱自己是怎么回事,2023/4/21 23:28,浙江
酷酷的小饼干,狗贼 最好曝光一下是谁 企业也不要用它，让她去她爱的国家公去自生自灭,2023/4/21 23:44,广东
拾光轻浅,想吃人家的饭还想砸人家的锅，真搞笑,2023/4/21 23:45,重庆
杭歌杂谈,前几天看见。没想到上热搜了,2023/4/21 23:50,四川
可可豆1992,不知道为什么，总感觉这事略微妙啊,2023/4/21 23:51,广西
昵称不可用为啥不可用,到底说了啥啊？,2023/4/21 23:53,英国
依依-惜惜,说啥了,2023/4/21 23:53,浙江
执你手方知丑,政审再严格点，敌人都要打入内部了,2023/4/21 23:54,江苏
sheng您别吃酒,国内所有企事业单位都应该严禁录用此人,2023/4/21 23:55,浙江
日暮青云上,没人觉得这种举报风气很可怕么,2023/4/21 23:57,吉林
饭饭被吃了,哈哈哈哈哈哈活该典型的端起碗来吃饭，放下碗来骂娘,2023/4/22 0:00,江苏
老姜茶-,典型端起碗吃饭，放下碗骂娘,2023/4/22 0:15,浙江
茶茶馒头,后面一名做梦都会笑醒的地步,2023/4/22 0:17,浙江
玻璃渣的浪漫,内部真的很危险，一群二五仔，希望不要重蹈苏联的覆辙。我人生目标就是安安稳稳寿终正寝，所以请稳定一点。,2023/4/22 0:28,浙江
大货三轮车司机,想知道说了什么言论,2023/4/22 0:40,美国
基洛夫凯南,很多人只是把公职当做一个谋生工具而已，能有啥觉悟,2023/4/22 0:42,广西
不是模范的范,公务员群体里这种人是不少的,2023/4/22 0:52,北京
湖底月色朦胧,都喊只那了，还不赶紧润去日本,2023/4/22 0:54,湖北
天才小兜兜,互联网是有记忆的，请每个人做好谨言慎行。,2023/4/22 0:54,浙江
风之通道,一边反华一边考公，请问这是什么操作什么成分？,2023/4/22 1:11,云南
一团小黄花呀,不能把心里话说出来,2023/4/22 1:14,广西
鳗鱼芝肚珍珠卷_,一边骂一边考公？,2023/4/22 1:20,海南
小虎保安,全是因为这人毒教材才会成功,2023/4/22 4:18,北京
春天春天春天111,那么讨厌兔子，咋不润，还考公，内心不分裂吗,2023/4/22 7:29,北京
安语听风,真勇哦,2023/4/22 7:31,山东
栅里,我就急，举报人提拔重用了没？,2023/4/22 8:18,浙江
AmazingDI阿低,干得漂亮 这种人是为了进体制钻营一番后压迫百姓的  没有中国心不能做人民的服务员,2023/4/22 9:28,广东
文24202,他到底说了什么辱华言语，请放出来让大家引以为戒！,2023/4/22 9:37,广东
友枝小学荣誉校长,只有我想知道他说了啥吗,2023/4/22 9:44,广东
Maodlife,好！！！,2023/4/22 10:14,上海
多想再活一次,的确没资格去考公务员,2023/4/22 10:19,安徽
冯_FPP,公务员内部“端碗吃饭，起身砸锅”的有不少,2023/4/22 10:33,河南
抓只蚂蚁数脚丫,这样的人太多了 一边吃你家饭一边砸你家锅,2023/4/22 11:05,天津
予歡不呦,不然呢，一边反华一边公职？,2023/4/22 11:34,河南
下午喝茶慢慢8,干得漂亮,2023/4/22 11:36,四川
爱吃辣的王老狗,干的漂亮好吧，重点不是被举报，重点是被查实了，举报的同学无论出于何种目的，客观上是为了国家，大功一件,2023/4/22 11:40,上海
天性举人,这不犯法吗？凭什么不抓？,2023/4/22 12:26,黑龙江
信长公的野望,看看许可馨,2023/4/22 12:32,江苏
Adam-D肋骨,一边反华一边考公？间谍？,2023/4/22 12:34,广东
PaxosMadeLive,”在中国，任何人不会因言获罪” #这盛世如你所愿#,2023/4/22 13:16,美国
铿老师今天学习了没,公务员首先要讲政治，政治不过关哪来的回哪去。,2023/4/22 13:42,河北
御膳厨房第十四代最高尚宫,支持，相互举报,2023/4/22 13:45,山东
烂木头_Bernese,建议适当放宽关于偷渡走线到美国的讨论，让这些爱美崇美的人士赶紧出去，留在体制内，不知道坏多大事,2023/4/22 14:00,湖北
一江春水向东流流,什么言论？发出来让大家看看呀,2023/4/22 14:23,广东
Ryanyyyu,灌篮高手作者推特上称中国人Cina 算不算辱华？,2023/4/22 14:58,广东
你收集了地球上每一次的风和日丽,反贼爱考公边考边骂  公示期多多举报,2023/4/22 16:26,重庆
KK大叔爱生活,“觉得它不好就去改造它”的实践案例啊，不是应该鼓励吗？怎么反而去举报了？,2023/4/22 16:44,上海
喀纳斯湖秋之雨,体制内事业单位这种人太多了,2023/4/22 16:44,云南
Melody-071,这种人当了公务员不是贪官就是特务,2023/4/22 18:08,广东
重生之我是理塘锐五测评员,你们中有几个是985的…这样说,2023/4/22 18:10,安徽
静等叶遇花,怎么辱的,2023/4/22 18:22,宁夏
觅禾77,应该这样,2023/4/22 18:33,河南
y一串骊珠a,政审是很有必要的！,2023/4/22 19:31,海南
蜂蜜加点茶,办事就是折腾人，好人少，说得像啥高尚职业似的,2023/4/22 20:30,四川
爱洛麦麦,没毛病，不能录，边吃着碗里的东西边要砸碗，这是人品问题。,2023/4/22 21:09,江西
洋葱onion-forever,这种人还考什么公务员,2023/4/22 22:39,陕西
小曹操2014,很多读书人，满嘴仁义道德，心里却想着。。。。。,2023/4/22 22:47,云南
夏天好凉,@王爱娃会吃香菜啊 居然上热搜了,2023/4/22 23:55,浙江
拍死马屁精,此生乃真小人。 他造不了多大的危害，就怕公务员里实干而不说的，危害才是最大的。,2023/4/23 7:43,江苏
谶钰-,所以公示期都要好好看看，不能让这种害群之马混进队伍,2023/4/23 9:08,湖北
咿呀噼里啪啦,举报是对的，进了组织内部造成危害和损失以后再处理就得不偿失了，希望公务员考试要全面考察考生在网络上的言行，多举报也是对的，公务员素质可关系着国家和老百姓利益呢。,2023/4/23 10:01,福建
醉人朝歌,线上考公课里好多人言论都反xx，能都抓起来么,2023/4/23 12:21,江苏
嗨嗨个迷子,既要 又要,2023/4/23 13:54,北京
加菲猫ch,太好了，刚好就业难，有空出来一个。,2023/4/23 14:16,江苏
中村仁,所以你对国内政治有意见想通过加入他们改变是行不通的考公救不了中国,2023/4/24 9:27,辽宁
别拿我不当豆包,......魔幻,2023/4/24 17:01,广东
黑黑的黑森林蛋糕,好 辱华还想做公务员，痴线,2023/4/24 18:15,广东
品牌折扣女装批发431931639,要公告，要舆论，这样的心思必须受到惩罚,2023/4/24 19:49,湖北
清空之上2012,据说他高中期间就有类似言论，应该是骨子已经坏了。中国人正常的吵架可能问候对方爹妈祖宗，但不会说什么zn,2023/4/27 13:36,浙江
boyf玮哥,这仙女也太过分了吧,2023/4/27 16:17,河南
,,,
