用户,评论内容,时间,地点
勇孤rich,反华还入公务员干嘛,2023/4/21 14:32,广东
祥瑞御免的老老Z,考公岗位竞争新途经啊这才开个头，估计以后会越来越多吧,2023/4/21 14:32,辽宁
万国潇13669729159,不爱国，当公职人员，不怕所有人被带偏,2023/4/21 14:34,云南
祥瑞御免的老老Z,举报人应该就是同岗位的竞争者或者亲属吧,2023/4/21 14:35,辽宁
村口的沙雕,所以鲁迅当不了官,2023/4/21 14:35,北京
钱多少不爱吃蛋白,漂亮,2023/4/21 14:36,浙江
橙花酱,活该,2023/4/21 14:36,江苏
寻找星光lysum,干得好！,2023/4/21 14:37,河北
钟灵毓秀7777,挺合适,2023/4/21 14:37,河南
寻找星光lysum,干得好！不爱国当什么公务员……,2023/4/21 14:38,河北
浅浅落uni,这种不会过政审吧,2023/4/21 14:39,北京
微博视频,您好，恭喜您的视频荣登视频飙升榜，全部领域第9名，榜单可在【发现页-视频-视频飙升榜】中展示您的上榜信息，榜单小时级更新请尽快查看哦~快来查看分享你的上榜视频吧~榜单戳》网页链接,2023/4/21 14:40,40
诺式媒女,这种现象并不少见，一边反一边考公…可怕在于真的有些人就进去了，然后对外就更反，甚至可能故意“高级黑”…说白了，敌在内部，根深蒂固,2023/4/21 14:41,四川
夹处逢生木木,那么问题来了，他说啥了,2023/4/21 14:41,广东
肖站_什么时候重回热搜第一啊,还好有举报。考察组真不合格,2023/4/21 14:41,重庆
吃可爱多长大的坏小孩,所以这些知识分子啊,2023/4/21 14:42,重庆
有点不正常的正常人,现在考公不都是为了一口饭吃嘛。可想而知，公务员队伍里面到底有多少还真正为了人民和国家。,2023/4/21 14:42,湖南
语文老师卢天宝,太好了！就是混进来太多这种两面人，我们的队伍才会不纯洁！,2023/4/21 14:43,江苏
长沙日常吐槽君,什么言论呀，麻烦亮出来,2023/4/21 14:43,湖南
Aether-DPS,这种打小报告的人一定要远离,2023/4/21 14:44,澳大利亚
ETALPRELIOB,应该把他说的话贴出来让大家自行判断,2023/4/21 14:45,上海
大黑亮亮,这件事还是其他浙大同学积极反应的，搞笑的是考察组留的电话号码还是少一位的，浙大同学兜兜转转费了好大劲才把情况反应上去。现在公告出来，考察组成了明察秋毫的,2023/4/21 14:45,浙江
胡萝卜须爱春天,我只想知道告密的是谁？,2023/4/21 14:45,山东
幾何_YING,原来不放弃名额，是会以更难看的下场收尾的啊。。。怪不得那谁谁也要放弃名额,2023/4/21 14:47,上海
hiker0001,反对因言获罪。私企有权利不录用，国家机构以言论为由不录用，是违宪,2023/4/21 14:47,安徽
特特_阿土公主,做得好！,2023/4/21 14:47,北京
煎bingo子_w,上网实名制,2023/4/21 14:47,安徽
Jinx35,这类人要是考进公务系统。也太可怕了,2023/4/21 14:48,河北
哇勒七点,本来就该这样,2023/4/21 14:48,江苏
周末愉快的吃饼家,抓起来,2023/4/21 14:49,海南
旧時旧夢故居寻故人,干得漂亮,2023/4/21 14:49,安徽
纪南序,我只能说活该,2023/4/21 14:49,内蒙古
梅子之味1005,漂亮,2023/4/21 14:49,河南
lulu真心想瘦成一道閃電,这种人考上了会不会一下就被人家策反,2023/4/21 14:49,福建
Fiiigo_,@LeeShaedle,2023/4/21 14:51,浙江
曾敬明,这种人还有许多，他们一边反华，一边考公。所以，我们必须擦亮眼晴，绝不能让这种人混进我们的公务员队伍，,2023/4/21 14:52,广东
坚果是只喵猪,活该！一边骂娘还想一边吃娘饭？！,2023/4/21 14:52,云南
南山路最速傳說,真正的敌人，永远在我们内部,2023/4/21 14:52,福建
蘸盐,这学生可以报考@四川航空 呀要是再说点什么“该对汉族进行种族屠杀”的言论，没准还能转入管理岗，跟阿英嘎共事呢。然后俩人一宿舍睡觉的时候被对方摸黑割下脑袋。想想就兴奋啊,2023/4/21 14:53,北京
霓虹饭,现在体制内很多人一点也不爱党爱国 甚至是恨国党 我感觉政审是太弱了,2023/4/21 14:53,广东
无敌馒头猫炫炫炫,痛快，思想不正还想吃皇粮,2023/4/21 14:53,北京
无常与无聊人,看评论，二鬼子挺多的,2023/4/21 14:53,海南
雪6_嘟嘟,研究生考县公务员？是不是有点大材小用了？,2023/4/21 14:54,陕西
爱吃大嘴巴子的太空人,恕我直言 这样的两面人现实中多的是,2023/4/21 14:54,福建
淺淺_Ting-Sohn,要是真被录取了，可能就是内奸,2023/4/21 14:54,福建
阚阚_阿Moon,考公务员本来就是要政审的呀。,2023/4/21 14:54,江苏
CaptainSpringer,关键是他当时说啥了啊,2023/4/21 14:55,北京
Lydia-K8,考公赚钱啊,2023/4/21 14:56,广东
鹅厂大户_,这是得罪导员被摆了一道吧,2023/4/21 14:56,黑龙江
喵喵想要睡觉觉,得亏没被录用。。。,2023/4/21 14:56,福建
女亭夂,干的漂亮??,2023/4/21 14:58,四川
小羊撒腿跑,干得漂亮,2023/4/21 14:58,广东
莲怜惹人爱,该！,2023/4/21 14:58,广东
flesymevoliii,捶死踏马的,2023/4/21 15:00,山西
卫沙-沃拉莫帅-帅德-布耀布耀德,这种就应该 应举尽举！,2023/4/21 15:00,北京
大桃胡,录上之后再行政处分，开除公职如何？,2023/4/21 15:00,黑龙江
可可西爱李,倒是有脸去吃公家饭,2023/4/21 15:01,湖北
素颜冷冰,杜绝两面皮，维护国家安全,2023/4/21 15:01,山东
数星星的小小星,如果你去某些权威部门解决问题 你就明白了 //@任天堂快把破ns换了:我身边也有这种，一边反华，一边准备考公务员的只不过没考上,2023/4/21 15:01,黑龙江
你很闹i1221,这种人千万不要录，吃相真难看,2023/4/21 15:02,陕西
陈雅琳Camille,是不是准备当间谍,2023/4/21 15:03,四川
兔子眼中的星光,#浙大学生因辱华言论被拒录公务员#一边吃饭一边砸锅，违背内心也有愧人民，公务员队伍不能容忍这样的人,2023/4/21 15:04,浙江
静雅歆,干得漂亮,2023/4/21 15:04,山东
无念往生Y,毕老爷的徒弟吧,2023/4/21 15:04,广东
后沙月光本尊,平时动不动骂同学是“zn人”，考公时又各种爱国精神失常吗？,2023/4/21 15:05,浙江
曼达达biubiubiu,反贼入公 这不是第一个也不会是最后一个 成功混入的肯定不少,2023/4/21 15:05,上海
古月Y古月,其实不喜中国赶紧移民啊，来去自由,2023/4/21 15:05,湖南
太晨宫的仙娥,太棒啦,2023/4/21 15:05,山东
所爱隔·山海·皆可平,可以整治很多不负责任的键盘侠,2023/4/21 15:06,吉林
Wyi柒,活该,2023/4/21 15:06,山东
雷雨云下的麦田,看不上这里但离不开这里还要依靠这里，这种人是最大的笑话,2023/4/21 15:06,北京
prettyyyy_,恭喜,2023/4/21 15:07,湖北
音乐葡萄Yu_,该啊,2023/4/21 15:07,福建
Dream星空儿,一面是最强王者，一面是现实！！,2023/4/21 15:07,山东
果糖果蜜,真的笑掉大牙，一边反华一边考公，是要打入内部,2023/4/21 15:09,北京
SC小旋疯,@开开心心又1天,2023/4/21 15:09,福建
望月开心,哈哈哈自作孽，二鬼子就别祸害,2023/4/21 15:09,山东
才上家私养喵,太好了，让他们端起碗吃饭，放下碗骂娘,2023/4/21 15:09,山东
昌平大喇叭,这必须支持政府决定，不允许不爱国的人混进公务员队伍。,2023/4/21 15:09,北京
今天又被K头啦,外网具多这种人，一边作为公职人员上班一边发表反华言论,2023/4/21 15:10,江西
欢乐欢乐,CC98立大功,2023/4/21 15:10,北京
齿痕Z留,真的要为自己的言论负责。,2023/4/21 15:10,辽宁
世界是积木,它的家人也该查一查，这种事一般都是从小潜移默化的,2023/4/21 15:10,辽宁
extraordinary月下清风遇注会,就该这样,2023/4/21 15:10,山东
曾敬明,这种人还有许多，他们一边反华，一边考公。所以，我们必须擦亮眼睛，绝不能让这种人混进我们的公务员队伍，,2023/4/21 15:11,广东
·飞丞,真是又当又立啊,2023/4/21 15:11,陕西
沈雨的小跟班帝笙Charlie,扛着红旗反红旗，进一步打入内部，制造党和人民分裂，服了,2023/4/21 15:11,云南
广渠路的麒麟菇凉,间谍吗,2023/4/21 15:12,江西
瓶瓶子不吃苹果,干得漂亮,2023/4/21 15:12,广东
杨过爱上令狐冲,干得漂亮,2023/4/21 15:12,黑龙江
录克录克,谁举报的？？？？干的漂亮！,2023/4/21 15:13,安徽
真的怀念狼,会否换个地方再考？毕竟公务员没有高考的学籍限制。,2023/4/21 15:13,陕西
郭大好运,干得不错，想吃这碗饭就别背地里骂娘！,2023/4/21 15:13,广东
尤旦子,失策了，我当时面试之前应该去搜一下竞争对手的往期言论的,2023/4/21 15:13,四川
卿_小馬,反华是信念，考公是生活,2023/4/21 15:15,浙江
叙以吖,1450们都有点骨气，不要做这种笑掉大牙的事,2023/4/21 15:15,浙江
大设计鰤喵小鱼,之前不是有个很出名的事吗，一个公派出去读书的女孩在海外大放厥词暴露她的本性，还说她父母都是公务员，这说明敌人在内部！,2023/4/21 15:16,山东
但愿新开始,政审也要与时俱进喽,2023/4/21 15:16,河北
啊月很懒,政府系统就不该允许这些渣滓进去,2023/4/21 15:17,广东
羊入虎口失语小透明,政审还是很有必要的 小心敌人在内部,2023/4/21 15:17,广东
luobawu,不应该抓起来吗？,2023/4/21 15:17,北京
沙县香干想吃三片,活该,2023/4/21 15:18,湖南
优米小白,这就是得罪人的后果，所以积德行善吧,2023/4/21 15:18,北京
阿喵喵与阿汪汪,苏州许某？,2023/4/21 15:18,广东
aaxsnow-,98不是法外之地,2023/4/21 15:18,山东
弹钢琴的仙人掌,有一个问题，既然查出来辱华了，可以行政拘留他吗？,2023/4/21 15:19,云南
我是巫师不是乱挥棍子的狒狒,主动放弃名额，我希望他深刻的认识到自己的错误,2023/4/21 15:20,北京
限定小陆chen,活该,2023/4/21 15:20,江苏
快乐星辰sun,支持，每个人都应该这自己的言行负责任,2023/4/21 15:20,山西
你的甜心小祖宗,为什么他一边反华一边还考公务员啊？好讽刺??,2023/4/21 15:20,河北
梦里寻花花不知66107,直接三代都拒绝录用这种人,2023/4/21 15:20,河南
云起漫天远,会不会是行走的50万,2023/4/21 15:21,黑龙江
老土豆我揍的就是你这个孙贼,一边反华，一边还想吃国家饭，做什么春秋大梦,2023/4/21 15:21,四川
土豆kk,是应该这样严肃清理,2023/4/21 15:21,浙江
倚窗听雪望春风,干的好 这样的人就不能被录取,2023/4/21 15:22,山东
洛凡星,开除中国籍,2023/4/21 15:22,浙江
小谢同学9547,具体是什么言论，发出来让我批斗一下,2023/4/21 15:23,广东
爱酱的新之助,开口闭口滞纳，它自己是什么？是白皮吗？,2023/4/21 15:23,福建
GwanSeon,这种人很多，不仅体制外的，体制内的都很多，不管刚进去的还是老干部，都有。,2023/4/21 15:23,福建
srmg-slyx,太棒了！政审不能流于形式，一定要把两面人排除在体制外。,2023/4/21 15:24,安徽
潘劲松,转发微博,2023/4/21 15:25,广东
_言字油梨,太支持了 全国看过来,2023/4/21 15:27,浙江
我艾米粒,好每个人都要为自己的言行负责。,2023/4/21 15:27,上海
CaeSayMyName,干得漂亮！,2023/4/21 15:28,北京
一起吹晚风吗Ly,漂亮,2023/4/21 15:28,浙江
续写蓝精灵的故事,都是成年人了，对自己说过的话负责，知错能改还是好同志,2023/4/21 15:30,北京
逝去的光芒人生,这种没出息的人一边骂一边吃,2023/4/21 15:30,河南
互粉互赞紧紧cc,没开除吗当时,2023/4/21 15:30,上海
竹间生沧海,那些价值观和信仰离现在太远了，就算再来一万张卷子一千万道题卷死一批又一批人也塑造不出那个年代的人了。,2023/4/21 15:30,广东
山丘哥哥1,当了公务员也是祸害,2023/4/21 15:31,湖南
可有可无的网友加菲,啥？这觉悟为什么会想着考公务员？,2023/4/21 15:31,北京
小陈陈家的老赵赵,这种人太容易被策反了,2023/4/21 15:33,山东
节日限定流年,非得听你的就正确？,2023/4/21 15:33,江苏
Molly是仙女,冰激凌小姐姐绝不是个例。这处理大大宣传,2023/4/21 15:34,上海
小学生在线网骗,吃着爸妈做的饭还一边骂着爸妈不好,2023/4/21 15:34,山东
小菜努力不菜中,该,2023/4/21 15:34,广东
Mengmz_,人生在世三件事，出生，死亡，和。,2023/4/21 15:34,广东
超爱吃外卖的干饭人,干得好！很有必要！,2023/4/21 15:35,广东
一只喵小酱,通报批评不留档的嘛？考公务员要政审吧 我记得会填是否有过处分的,2023/4/21 15:36,上海
十八岁的望眼欲穿,要积极发动群众斗群众,2023/4/21 15:37,上海
笑成一头驴,包括体制内现在都有内鬼你们信不信？特别是教育系统,2023/4/21 15:37,吉林
Kaaaaaaaaami,支持，这种人不能录入公职队伍，害群之马必须斩之而后快,2023/4/21 15:37,黑龙江
元气蛋黄派,应该的,2023/4/21 15:38,江西
0709-Columba,得了吧 国家隐私快被侵犯的不听见了 什么app上的聊天记录都要被改一遍，出去旅游公检法的工作人员 态度也只这么好，海关人员拿过关人员的东西 理所应当，买烟是买给自己的么，买给海关的,2023/4/21 15:38,河南
落叶翻飞了画卷,amazing,2023/4/21 15:40,四川
一百姓01,//@熠星辰: 就是要把这种吃饭摔碗的人清除出去。//@任天堂快把破ns换了: 我身边也有这种人，一边反华，一边准备考公务员的，只不过没考上。,2023/4/21 15:41,河北
你无法对抗的善意第三人-,政治不正确却想考公,2023/4/21 15:42,河北
九琐,这位小朋友还不知，啥叫政审，，，,2023/4/21 15:43,浙江
有个梨GPT,也可能是未来的他回到现在，跑到BBS上发表言论，改变了他十五年后身居要职贪污两千多亿沦为阶下囚的命运，矮盖斯。#浙大学生因辱华言论被拒录公务员#,2023/4/21 15:44,上海
元宇宙坠落星海,这种政治屁股歪的，一定要严打。,2023/4/21 15:46,广西
lovekohut,分裂是中国人的一大特质,2023/4/21 15:46,陕西
歌乐行者,#浙大学生因辱华言论被拒录公务员#，官方回应：目前该生已主动放弃名额#校园信步#,2023/4/21 15:47,重庆
你先呀,边骂国，还边想从国家这边分点小蛋糕生活，这种人真的挺剑嘻嘻的,2023/4/21 15:47,宁夏
迈克张轩瑜在米兰,逆淘汰机制就在于你可以虚情假意的混，但不能说实话或者不要在这里表达你真实想法，否则会死的很惨，因为那些惯于说假话空话套话的会整死你。,2023/4/21 15:51,意大利
風雨顺德人,考上了是群众的不幸//@SOGA小事:这种千万不能考上 //@任天堂快把破ns换了:我身边也有这种，一边反华，一边准备考公务员的只不过没考上,2023/4/21 15:53,广东
糯米柚子卷,这种人就不能给他往上爬的机会,2023/4/21 15:54,江苏
游标卡呎,太可笑了,2023/4/21 15:57,陕西
Amandayaya321,小年轻可以愤青，不可以辱华，这点还是要分清楚的,2023/4/21 15:58,广东
球帽是球球,干得好,2023/4/21 15:58,广西
四方月,开除国籍好了，反正他有的是去处,2023/4/21 16:01,北京
Forever夕x,已经退出了，改为直接入用，不会发公告,2023/4/21 16:01,湖南
枣泥冰激凌,狠狠支持，连国家都不爱的人能指望他建设国家服务人民吗,2023/4/21 16:04,山东
yj666天籁,"过去就是现在。因为我们生活在我们的想象中,作为我们想象力景观的一部分,过去对我们来说仍然是活的。在这个意义上,一些东西永远不会结束。",2023/4/21 16:11,安徽
橙汁亿分甜,爱看，多来点,2023/4/21 16:20,重庆
酒痕行行,他主动放弃的意思是 下一次再考可能还有机会…… 等到大家淡忘了 他换一个地方工作 人家考察他的时候 就没人知道这事了,2023/4/21 16:31,山东
希了个崽的,一篇合格的新闻是不是也要报道一下他到底说了啥啊？,2023/4/21 16:32,天津
痞气大叔PQ,发表侮辱言论违法。如果发表了侮辱言论，一般情况下，违反了治安管理处罚法，公安机关会依法予以治安行政处罚，如果情节严重，达到恶劣程度，就会涉嫌构成侮辱、诽谤罪，追究其刑事责任。 法律依据： 《中华人民共和国刑法》第二百四十六条 《中华人民共和国治安管理处罚法》第四十二条,2023/4/21 16:41,黑龙江
藓钕猎手,中国 懂得都懂,2023/4/21 16:42,北京
芬兰小小木匠,第四名心里意想不到啊～,2023/4/21 17:20,安徽
非太阳小黑,他要进去潜伏,2023/4/21 17:21,辽宁
