战力分段,7败以上人数,7败人数,6败人数,5败人数,4败人数,3败人数,2败人数,1败人数,1胜人数,2胜人数,3胜人数,4胜人数,5胜人数,6胜人数,7胜人数,7胜以上人数,7败以上人次,7败人次,6败人次,5败人次,4败人次,3败人次,2败人次,1败人次,1胜人次,2胜人次,3胜人次,4胜人次,5胜人次,6胜人次,7胜人次,7胜以上人次
<7500,144,88,95,188,289,449,564,771,824,572,431,281,161,102,58,122,144,88,95,188,289,449,564,773,826,572,431,281,161,102,58,122
7500~8999,308,140,175,277,327,469,557,583,672,621,562,426,300,230,140,359,308,140,175,277,327,469,557,584,672,622,563,426,300,230,140,359
9000~10499,44,18,37,40,53,66,84,69,88,98,54,58,42,30,18,56,44,18,37,40,53,66,84,69,88,98,54,58,42,30,18,56
10500~11999,26,8,11,16,27,30,29,40,39,38,35,19,15,17,4,26,26,8,11,16,27,30,29,40,39,38,35,19,15,17,4,26
12000~13499,10,6,7,10,18,29,33,28,21,26,24,21,15,6,6,27,10,6,7,10,18,29,33,28,21,26,24,21,15,6,6,27
13500~14999,8,1,1,7,7,6,8,13,15,13,6,10,4,5,4,5,8,1,1,7,7,6,8,13,16,13,6,10,4,5,4,5
15000以上,20,12,9,13,24,24,28,40,42,32,19,13,15,10,6,24,20,12,9,13,24,24,28,40,42,32,19,13,15,10,6,24
